Extended GOX/ABS CEA Tables,,,,,,,,,,,,,,,
"Flame Temperature, Deg. K                                                                                                O/F  Ratio",,,,,,,,,,,,,,,
Pc(kPa)  ,0.75,1,1.25,1.5,1.75,2,2.25,2.5,2.75,3,4,5,6,7,8
275.79,2050.6,2347.1,2790.3,3127.1,3272.5,3323.8,3336.8,3333,3321.1,3305,3225.2,3139.9,3054.7,2969.9,2884.7
413.68,2051.8,2351.4,2810.7,3168.1,3325.9,3382.4,3397.1,3393.5,3381.2,3364.3,3280,3189.8,3099.4,3009.4,2918.9
551.58,2052.6,2354,2824.3,3196.6,3364.1,3424.6,3440.7,3437.3,3424.7,3407.2,3319.6,3225.6,3131.4,3037.4,2943
689.47,2053.3,2355.9,2834.2,3218.4,3393.7,3457.7,3474.9,3471.8,3458.9,3440.9,3350.7,3253.6,3156.3,3059.2,2961.6
861.84,2054,2357.7,2843.6,3239.9,3423.3,3491,3509.5,3506.7,3493.6,3475.1,3382.1,3281.8,3181.3,3080.9,2980
1034.2,2054.7,2359,2850.9,3257.1,3447.6,3518.4,3538.1,3535.5,3522.2,3503.3,3408,3305,3201.8,3098.6,2994.9
1206.6,2055.3,2360.1,2856.9,3271.4,3468,3541.8,3562.4,3560,3546.6,3527.4,3430,3324.8,3219.1,3113.5,3007.4
1378.9,2055.8,2361,2861.8,3283.7,3485.7,3562,3583.6,3581.4,3567.9,3548.4,3449.2,3341.9,3234.1,3126.4,3018.2
1723.7,2056.9,2362.5,2869.7,3303.7,3515.2,3596.1,3619.4,3617.5,3603.8,3583.8,3481.6,3370.7,3259.3,3147.8,3036
2068.4,2057.8,2363.7,2875.7,3319.7,3539.3,3624,3648.8,3647.3,3633.4,3613.1,3508.3,3394.4,3279.8,3165.3,3050.4
2413.2,2058.8,2364.7,2880.6,3333,3559.5,3647.8,3673.8,3672.7,3658.7,3638,3531,3414.5,3297.2,3180,3062.5
2757.9,2059.7,2365.5,2884.7,3344.3,3576.9,3668.4,3695.7,3694.9,3680.8,3659.7,3550.7,3431.9,3312.3,3192.6,3072.8
3102.6,2060.5,2366.3,2888.1,3354,3592.2,3686.6,3715,3714.5,3700.3,3679,3568.3,3447.3,3325.5,3203.7,3081.8
3447.4,2061.4,2367,2891,3362.6,3605.9,3702.9,3732.4,3732.2,3717.9,3696.4,3584,3461.2,3337.4,3213.6,3089.8
4136.8,2063.1,2368.2,2895.9,3377.1,3629.4,3731.2,3762.6,3762.9,3748.6,3726.6,3611.4,3485.2,3357.9,3230.7,3103.5
5515.8,2066.2,2370.2,2903,3399.2,3665.9,3776,3810.6,3811.9,3797.4,3774.8,3654.9,3523.1,3390.1,3257.3,3124.7
,,,,,,,,,,,,,,,
"Molecular Weight, kg/kg-mol                                                                                         O/F  Ratio",,,,,,,,,,,,,,,
